,ts_code,symbol,name,area,industry,fullname,enname,market,exchange,curr_type,list_status,list_date,delist_date,is_hs
0,000001.SZ,000001,平安银行,深圳,银行,平安银行股份有限公司,"Ping An Bank Co., Ltd.",主板,SZSE,CNY,L,19910403,,S
1,000002.SZ,000002,万科A,深圳,全国地产,万科企业股份有限公司,"China Vanke Co.,Ltd.",主板,SZSE,CNY,L,19910129,,S
2,000004.SZ,000004,国农科技,深圳,生物制药,深圳中国农大科技股份有限公司,"Shenzhen Cau Technology Co.,Ltd.",主板,SZSE,CNY,L,19910114,,N
3,000005.SZ,000005,世纪星源,深圳,环境保护,深圳世纪星源股份有限公司,Shenzhen Fountain Corporation,主板,SZSE,CNY,L,19901210,,N
4,000006.SZ,000006,深振业A,深圳,区域地产,深圳市振业(集团)股份有限公司,"Shenzhen Zhenye(Group) Co.,Ltd.",主板,SZSE,CNY,L,19920427,,S
5,000007.SZ,000007,全新好,深圳,酒店餐饮,深圳市全新好股份有限公司,"Shenzhen Quanxinhao Co.,Ltd",主板,SZSE,CNY,L,19920413,,N
6,000008.SZ,000008,神州高铁,北京,运输设备,神州高铁技术股份有限公司,"China High Speed Railway Technology Co., Ltd.",主板,SZSE,CNY,L,19920507,,S
7,000009.SZ,000009,中国宝安,深圳,综合类,中国宝安集团股份有限公司,"China Baoan Group Co.,Ltd.",主板,SZSE,CNY,L,19910625,,S
8,000010.SZ,000010,美丽生态,深圳,建筑施工,深圳美丽生态股份有限公司,"Shenzhen Ecobeauty Co.,Ltd.",主板,SZSE,CNY,L,19951027,,N
9,000011.SZ,000011,深物业A,深圳,区域地产,深圳市物业发展(集团)股份有限公司,Shenzhen Properties & Resources Development (Group) Ltd.,主板,SZSE,CNY,L,19920330,,S
10,000012.SZ,000012,南玻A,深圳,玻璃,中国南玻集团股份有限公司,"CSG Holding Co.,Ltd.",主板,SZSE,CNY,L,19920228,,S
11,000014.SZ,000014,沙河股份,深圳,全国地产,沙河实业股份有限公司,"Shahe Industrial Co.,Ltd.",主板,SZSE,CNY,L,19920602,,N
12,000016.SZ,000016,深康佳A,深圳,家用电器,康佳集团股份有限公司,"Konka Group Co.,Ltd",主板,SZSE,CNY,L,19920327,,S
13,000017.SZ,000017,深中华A,深圳,文教休闲,深圳中华自行车(集团)股份有限公司,Shenzhen China Bicycle Company (Holdings) Limited,主板,SZSE,CNY,L,19920331,,N
14,000018.SZ,000018,神州长城,深圳,装修装饰,神州长城股份有限公司,"Sino Great Wall Co., Ltd.",主板,SZSE,CNY,L,19920616,,N
15,000019.SZ,000019,深粮控股,深圳,其他商业,深圳市深粮控股股份有限公司,"SHENZHEN CEREALS HOLDINGS CO.,LTD.",主板,SZSE,CNY,L,19921012,,N
16,000020.SZ,000020,深华发A,深圳,元器件,深圳中恒华发股份有限公司,"Shenzhen Zhongheng Huafa Co.,Ltd.",主板,SZSE,CNY,L,19920428,,N
17,000021.SZ,000021,深科技,深圳,电脑设备,深圳长城开发科技股份有限公司,"Shenzhen Kaifa Technology Co., Ltd.",主板,SZSE,CNY,L,19940202,,S
18,000023.SZ,000023,深天地A,深圳,其他建材,深圳市天地(集团)股份有限公司,"Shenzhen Universe (Group) Co.,Ltd",主板,SZSE,CNY,L,19930429,,N
19,000025.SZ,000025,特力A,深圳,汽车服务,深圳市特力(集团)股份有限公司,"Shenzhen Tellus Holding Co.,Ltd",主板,SZSE,CNY,L,19930621,,S
20,000026.SZ,000026,飞亚达A,深圳,其他商业,飞亚达(集团)股份有限公司,Fiyta Holdings Ltd.,主板,SZSE,CNY,L,19930603,,N
21,000027.SZ,000027,深圳能源,深圳,火力发电,深圳能源集团股份有限公司,"Shenzhen Energy Group Co., Ltd.",主板,SZSE,CNY,L,19930903,,S
22,000028.SZ,000028,国药一致,深圳,医药商业,国药集团一致药业股份有限公司,China National Accord Medicines Corporation Ltd.,主板,SZSE,CNY,L,19930809,,S
23,000029.SZ,000029,深深房A,深圳,区域地产,深圳经济特区房地产(集团)股份有限公司,"Shenzhen Special Economic Zone Real Estate&Properties (Group).Co.,Ltd.",主板,SZSE,CNY,L,19930915,,S
24,000030.SZ,000030,富奥股份,吉林,汽车配件,富奥汽车零部件股份有限公司,FAWER Automotive Parts Limited Company,主板,SZSE,CNY,L,19930929,,S
25,000031.SZ,000031,大悦城,深圳,全国地产,大悦城控股集团股份有限公司,"Grandjoy Holdings Group Co.,Ltd.",主板,SZSE,CNY,L,19931008,,S
26,000032.SZ,000032,深桑达A,深圳,元器件,深圳市桑达实业股份有限公司,"Shenzhen Sed Industry Co.,Ltd.",主板,SZSE,CNY,L,19931028,,N
27,000034.SZ,000034,神州数码,深圳,综合类,神州数码集团股份有限公司,"Digital China Group Co.,Ltd.",主板,SZSE,CNY,L,19940509,,S
28,000035.SZ,000035,中国天楹,江苏,环境保护,中国天楹股份有限公司,China Tianying Inc.,主板,SZSE,CNY,L,19940408,,S
29,000036.SZ,000036,华联控股,深圳,全国地产,华联控股股份有限公司,China Union Holdings Ltd.,主板,SZSE,CNY,L,19940617,,S
30,000037.SZ,000037,深南电A,深圳,火力发电,深圳南山热电股份有限公司,"Shenzhen Nanshan Power Co.,Ltd.",主板,SZSE,CNY,L,19940701,,N
31,000038.SZ,000038,深大通,深圳,广告包装,深圳大通实业股份有限公司,"Shenzhen Capstone Industrial Co., Ltd.",主板,SZSE,CNY,L,19940808,,N
32,000039.SZ,000039,中集集团,深圳,轻工机械,中国国际海运集装箱(集团)股份有限公司,"China International Marine Containers (Group) Co., Ltd",主板,SZSE,CNY,L,19940408,,S
33,000040.SZ,000040,东旭蓝天,深圳,新型电力,东旭蓝天新能源股份有限公司,"Tunghsu Azure Renewable Energy Co., Ltd.",主板,SZSE,CNY,L,19940808,,S
34,000042.SZ,000042,中洲控股,深圳,全国地产,深圳市中洲投资控股股份有限公司,"Shenzhen Centralcon Investment Holdings Co., Ltd",主板,SZSE,CNY,L,19940921,,S
35,000043.SZ,000043,中航善达,深圳,房产服务,中航善达股份有限公司,AVIC SUNDA HOLDING COMPANY LIMITED,主板,SZSE,CNY,L,19940928,,N
36,000045.SZ,000045,深纺织A,深圳,纺织,深圳市纺织(集团)股份有限公司,"Shenzhen Textile (Holdings) Co.,Ltd.",主板,SZSE,CNY,L,19940815,,N
37,000046.SZ,000046,泛海控股,北京,全国地产,泛海控股股份有限公司,"Oceanwide Holdings Co., Ltd.",主板,SZSE,CNY,L,19940912,,S
38,000048.SZ,000048,*ST康达,深圳,饲料,深圳市康达尔(集团)股份有限公司,"Shenzhen Kondarl (Group) Co.,Ltd.",主板,SZSE,CNY,L,19941101,,N
39,000049.SZ,000049,德赛电池,深圳,电气设备,深圳市德赛电池科技股份有限公司,"Shenzhen Desay Battery Technology Co., Ltd.",主板,SZSE,CNY,L,19950320,,N
40,000050.SZ,000050,深天马A,深圳,元器件,天马微电子股份有限公司,"Tianma Microelectronics Co.,Ltd.",主板,SZSE,CNY,L,19950315,,S
41,000055.SZ,000055,方大集团,深圳,其他建材,方大集团股份有限公司,"China Fangda Group Co.,Ltd.",主板,SZSE,CNY,L,19960415,,N
42,000056.SZ,000056,皇庭国际,深圳,房产服务,深圳市皇庭国际企业股份有限公司,"Shenzhen Wongtee International Enterprise Co., Ltd.",主板,SZSE,CNY,L,19960708,,N
43,000058.SZ,000058,深赛格,深圳,元器件,深圳赛格股份有限公司,"Shenzhen Seg Co.,Ltd.",主板,SZSE,CNY,L,19961226,,N
44,000059.SZ,000059,华锦股份,辽宁,石油加工,北方华锦化学工业股份有限公司,"North Huajin Chemical Industries Co.,Ltd",主板,SZSE,CNY,L,19970130,,S
45,000060.SZ,000060,中金岭南,深圳,铅锌,深圳市中金岭南有色金属股份有限公司,Shenzhen Zhongjin Lingnan Nonfemet Co. Ltd.,主板,SZSE,CNY,L,19970123,,S
46,000061.SZ,000061,农产品,深圳,农业综合,深圳市农产品集团股份有限公司,"Shenzhen Agricultural Products Group Co.,Ltd.",主板,SZSE,CNY,L,19970110,,S
47,000062.SZ,000062,深圳华强,深圳,批发业,深圳华强实业股份有限公司,"Shenzhen Huaqiang Industry Co.,Ltd",主板,SZSE,CNY,L,19970130,,S
48,000063.SZ,000063,中兴通讯,深圳,通信设备,中兴通讯股份有限公司,ZTE Corporation,主板,SZSE,CNY,L,19971118,,S
49,000065.SZ,000065,北方国际,北京,建筑施工,北方国际合作股份有限公司,NORINCO International Cooperation Ltd.,主板,SZSE,CNY,L,19980605,,S
50,000066.SZ,000066,中国长城,深圳,电脑设备,中国长城科技集团股份有限公司,"China Greatwall Technology Group Co., Ltd.",主板,SZSE,CNY,L,19970626,,S
51,000068.SZ,000068,华控赛格,深圳,元器件,深圳华控赛格股份有限公司,"Shenzhen Huakong Seg Co.,Ltd.",主板,SZSE,CNY,L,19970611,,N
52,000069.SZ,000069,华侨城A,深圳,旅游景点,深圳华侨城股份有限公司,"Shenzhen Overseas Chinese Town Co.,Ltd",主板,SZSE,CNY,L,19970910,,S
53,000070.SZ,000070,特发信息,深圳,通信设备,深圳市特发信息股份有限公司,"Shenzhen SDG Information Co., Ltd.",主板,SZSE,CNY,L,20000511,,N
54,000078.SZ,000078,海王生物,深圳,生物制药,深圳市海王生物工程股份有限公司,"Shenzhen Neptunus Bioengineering Co.,Ltd",主板,SZSE,CNY,L,19981218,,S
55,000088.SZ,000088,盐田港,深圳,港口,深圳市盐田港股份有限公司,"Shenzhen Yan Tian Port Holdings Co.,Ltd",主板,SZSE,CNY,L,19970728,,S
56,000089.SZ,000089,深圳机场,深圳,机场,深圳市机场股份有限公司,"Shenzhen Airport Co.,Ltd.",主板,SZSE,CNY,L,19980420,,S
57,000090.SZ,000090,天健集团,深圳,建筑施工,深圳市天健(集团)股份有限公司,"Shenzhen Tagen Group Co., Ltd.",主板,SZSE,CNY,L,19990721,,S
58,000096.SZ,000096,广聚能源,深圳,石油贸易,深圳市广聚能源股份有限公司,"Shenzhen Guangju Energy Co.,Ltd.",主板,SZSE,CNY,L,20000724,,N
59,000099.SZ,000099,中信海直,深圳,空运,中信海洋直升机股份有限公司,"CITIC Offshore Helicopter Co., Ltd.",主板,SZSE,CNY,L,20000731,,N
60,000100.SZ,000100,TCL集团,广东,家用电器,TCL集团股份有限公司,TCL Corporation,主板,SZSE,CNY,L,20040130,,S
61,000150.SZ,000150,宜华健康,广东,医疗保健,宜华健康医疗股份有限公司,"Yihua Healthcare Co.,Ltd.",主板,SZSE,CNY,L,20000807,,S
62,000151.SZ,000151,中成股份,北京,商贸代理,中成进出口股份有限公司,China National Complete Plant Import & Export Corporation Limited,主板,SZSE,CNY,L,20000906,,N
63,000153.SZ,000153,丰原药业,安徽,化学制药,安徽丰原药业股份有限公司,"Anhui Fengyuan Pharmaceutical Co., Ltd.",主板,SZSE,CNY,L,20000920,,N
64,000155.SZ,000155,川能动力,四川,农药化肥,四川省新能源动力股份有限公司,SICHUAN NEW ENERGY POWER COMPANY LIMITED,主板,SZSE,CNY,L,20000926,,S
65,000156.SZ,000156,华数传媒,浙江,影视音像,华数传媒控股股份有限公司,"Wasu Media Holding Co.,Ltd",主板,SZSE,CNY,L,20000906,,S
66,000157.SZ,000157,中联重科,湖南,工程机械,中联重科股份有限公司,"Zoomlion Heavy Industry Science and Technology Co., Ltd.",主板,SZSE,CNY,L,20001012,,S
67,000158.SZ,000158,常山北明,河北,纺织,石家庄常山北明科技股份有限公司,"Shijiazhuang ChangShan BeiMing Technology Co., Ltd",主板,SZSE,CNY,L,20000724,,S
68,000159.SZ,000159,国际实业,新疆,石油贸易,新疆国际实业股份有限公司,"Xinjiang International Industry Co.,Ltd",主板,SZSE,CNY,L,20000926,,N
69,000166.SZ,000166,申万宏源,新疆,证券,申万宏源集团股份有限公司,"Shenwan Hongyuan Group Co.,Ltd.",主板,SZSE,CNY,L,20150126,,S
70,000301.SZ,000301,东方盛虹,江苏,化纤,江苏东方盛虹股份有限公司,"Jiangsu Eastern Shenghong Co.,Ltd.",主板,SZSE,CNY,L,20000529,,S
71,000333.SZ,000333,美的集团,广东,家用电器,美的集团股份有限公司,"Midea Group Co.,Ltd.",主板,SZSE,CNY,L,20130918,,S
72,000338.SZ,000338,潍柴动力,山东,汽车配件,潍柴动力股份有限公司,"Weichai Power Co.,Ltd.",主板,SZSE,CNY,L,20070430,,S
73,000400.SZ,000400,许继电气,河南,电气设备,许继电气股份有限公司,"XJ Electric Co.,Ltd.",主板,SZSE,CNY,L,19970418,,S
74,000401.SZ,000401,冀东水泥,河北,水泥,唐山冀东水泥股份有限公司,"Tangshan Jidong Cement Co.,Ltd.",主板,SZSE,CNY,L,19960614,,S
75,000402.SZ,000402,金融街,北京,全国地产,金融街控股股份有限公司,"Financial Street Holdings Co., Ltd.",主板,SZSE,CNY,L,19960626,,S
76,000403.SZ,000403,振兴生化,山西,生物制药,振兴生化股份有限公司,"Zhenxing Biopharmaceutical & Chemical Co., Ltd",主板,SZSE,CNY,L,19960628,,N
77,000404.SZ,000404,长虹华意,江西,专用机械,长虹华意压缩机股份有限公司,"Changhong Huayi Compressor Co., Ltd.",主板,SZSE,CNY,L,19960619,,N
78,000407.SZ,000407,胜利股份,山东,供气供热,山东胜利股份有限公司,"Shandong Shengli Co.,Ltd.",主板,SZSE,CNY,L,19960703,,N
79,000408.SZ,000408,藏格控股,青海,农药化肥,藏格控股股份有限公司,ZANGGE HOLDING COMPANY LIMITED,主板,SZSE,CNY,L,19960628,,N
80,000409.SZ,000409,*ST地矿,山东,综合类,山东地矿股份有限公司,"Shandong Geo-Mineral Co.,Ltd",主板,SZSE,CNY,L,19960627,,N
81,000410.SZ,000410,沈阳机床,辽宁,机床制造,沈阳机床股份有限公司,"Shenyang Machine Tool Co.,Ltd",主板,SZSE,CNY,L,19960718,,N
82,000411.SZ,000411,英特集团,浙江,医药商业,浙江英特集团股份有限公司,"Zhejiang Int'l Group Co.,Ltd",主板,SZSE,CNY,L,19960716,,N
83,000413.SZ,000413,东旭光电,河北,元器件,东旭光电科技股份有限公司,"Dongxu Optoelectronic Technology Co., Ltd.",主板,SZSE,CNY,L,19960925,,S
84,000415.SZ,000415,渤海租赁,新疆,多元金融,渤海租赁股份有限公司,"Bohai Leasing Co.,Ltd.",主板,SZSE,CNY,L,19960716,,S
85,000416.SZ,000416,民生控股,山东,多元金融,民生控股股份有限公司,"Minsheng Holdings Co.,Ltd",主板,SZSE,CNY,L,19960719,,N
86,000417.SZ,000417,合肥百货,安徽,百货,合肥百货大楼集团股份有限公司,"Hefei Department Store Group Co.,Ltd",主板,SZSE,CNY,L,19960812,,N
87,000418.SZ,000418,小天鹅A,江苏,家用电器,无锡小天鹅股份有限公司,Wuxi Little Swan Company Limited,主板,SZSE,CNY,L,19970328,,S
88,000419.SZ,000419,通程控股,湖南,百货,长沙通程控股股份有限公司,"Changsha Tongcheng Holdings Co.,Ltd",主板,SZSE,CNY,L,19960816,,N
89,000420.SZ,000420,吉林化纤,吉林,化纤,吉林化纤股份有限公司,"Jilin Chemical Fibre Stock Co., Ltd.",主板,SZSE,CNY,L,19960802,,N
90,000421.SZ,000421,南京公用,江苏,供气供热,南京公用发展股份有限公司,"NanJing Public Utilities Development Co.,Ltd.",主板,SZSE,CNY,L,19960806,,N
91,000422.SZ,000422,*ST宜化,湖北,农药化肥,湖北宜化化工股份有限公司,"Hubei Yihua Chemical Industry Co.,Ltd",主板,SZSE,CNY,L,19960815,,N
92,000423.SZ,000423,东阿阿胶,山东,中成药,东阿阿胶股份有限公司,"Dong-E-E-Jiao Co., Ltd.",主板,SZSE,CNY,L,19960729,,S
93,000425.SZ,000425,徐工机械,江苏,工程机械,徐工集团工程机械股份有限公司,"XCMG Construction Machinery Co., Ltd.",主板,SZSE,CNY,L,19960828,,S
94,000426.SZ,000426,兴业矿业,内蒙,铅锌,内蒙古兴业矿业股份有限公司,"Inner Mongolia Xingye Mining Co.,Ltd",主板,SZSE,CNY,L,19960828,,S
95,000428.SZ,000428,华天酒店,湖南,酒店餐饮,华天酒店集团股份有限公司,"Huatian Hotel Group Co.,Ltd.",主板,SZSE,CNY,L,19960808,,N
96,000429.SZ,000429,粤高速A,广东,路桥,广东省高速公路发展股份有限公司,"Guangdong Provincial Expressway Development Co.,Ltd.",主板,SZSE,CNY,L,19980220,,S
97,000430.SZ,000430,张家界,湖南,旅游景点,张家界旅游集团股份有限公司,"Zhang Jia Jie Tourism Group Co., Ltd",主板,SZSE,CNY,L,19960829,,N
98,000488.SZ,000488,晨鸣纸业,山东,造纸,山东晨鸣纸业集团股份有限公司,Shandong Chenming Paper Holdings Limited,主板,SZSE,CNY,L,20001120,,S
99,000498.SZ,000498,山东路桥,山东,建筑施工,山东高速路桥集团股份有限公司,"Shandong Hi-Speed Road&Bridge Co.,Ltd.",主板,SZSE,CNY,L,19970609,,N
100,000501.SZ,000501,鄂武商A,湖北,百货,武汉武商集团股份有限公司,"Wuhan Department Store Group Co., Ltd.",主板,SZSE,CNY,L,19921120,,S
101,000502.SZ,000502,绿景控股,广东,医疗保健,绿景控股股份有限公司,"Lvjing Holding Co., Ltd",主板,SZSE,CNY,L,19921123,,N
102,000503.SZ,000503,国新健康,海南,医疗保健,国新健康保障服务集团股份有限公司,"China Reform Health Management and Services Group Co., Ltd.",主板,SZSE,CNY,L,19921130,,S
103,000504.SZ,000504,南华生物,湖南,环境保护,南华生物医药股份有限公司,"Nanhua Bio-Medicineco.,Ltd.",主板,SZSE,CNY,L,19921208,,N
104,000505.SZ,000505,京粮控股,海南,食品,海南京粮控股股份有限公司,"Hainan Jingliang Holdings Co., Ltd.",主板,SZSE,CNY,L,19921221,,N
105,000506.SZ,000506,中润资源,山东,区域地产,中润资源投资股份有限公司,Zhongrun Resources Investment Corporation,主板,SZSE,CNY,L,19930312,,N
106,000507.SZ,000507,珠海港,广东,港口,珠海港股份有限公司,"Zhuhai Port Co., Ltd",主板,SZSE,CNY,L,19930326,,S
107,000509.SZ,000509,华塑控股,四川,其他建材,华塑控股股份有限公司,"Huasu Holdings Co.,Ltd",主板,SZSE,CNY,L,19930507,,N
108,000510.SZ,000510,金路集团,四川,化工原料,四川金路集团股份有限公司,"Sichuan Jinlu Group Co.,Ltd.",主板,SZSE,CNY,L,19930507,,N
109,000513.SZ,000513,丽珠集团,广东,中成药,丽珠医药集团股份有限公司,Livzon Pharmaceutical Group Inc.,主板,SZSE,CNY,L,19931028,,S
110,000514.SZ,000514,渝开发,重庆,区域地产,重庆渝开发股份有限公司,"Chongqing Yukaifa Co.,Ltd",主板,SZSE,CNY,L,19930712,,N
111,000516.SZ,000516,国际医学,陕西,百货,西安国际医学投资股份有限公司,Xi'An International Medical Investment Company Limited,主板,SZSE,CNY,L,19930809,,S
112,000517.SZ,000517,荣安地产,浙江,区域地产,荣安地产股份有限公司,"Rongan Property Co., Ltd.",主板,SZSE,CNY,L,19930806,,S
113,000518.SZ,000518,四环生物,江苏,生物制药,江苏四环生物股份有限公司,"Jiangsu Sihuan Bioengineering Co.,Ltd",主板,SZSE,CNY,L,19930908,,N
114,000519.SZ,000519,中兵红箭,湖南,矿物制品,中兵红箭股份有限公司,"NORTH INDUSTRIES GROUP RED ARROW CO., LTD",主板,SZSE,CNY,L,19931008,,N
115,000520.SZ,000520,长航凤凰,湖北,水运,长航凤凰股份有限公司,"Chang Jiang Shipping Group Phoenix Co.,Ltd",主板,SZSE,CNY,L,19931025,,N
116,000521.SZ,000521,长虹美菱,安徽,家用电器,长虹美菱股份有限公司,"CHANGHONG MEILING CO.,LTD.",主板,SZSE,CNY,L,19931018,,N
117,000523.SZ,000523,广州浪奇,广东,日用化工,广州市浪奇实业股份有限公司,"Lonkey Industrial Co.,Ltd.Guangzhou",主板,SZSE,CNY,L,19931108,,N
118,000524.SZ,000524,岭南控股,广东,酒店餐饮,广州岭南集团控股股份有限公司,Guangzhou Lingnan Group Holdings Company Limited,主板,SZSE,CNY,L,19931118,,N
119,000525.SZ,000525,红太阳,江苏,农药化肥,南京红太阳股份有限公司,"Nanjing Red Sun Co.,Ltd.",主板,SZSE,CNY,L,19931028,,S
120,000526.SZ,000526,紫光学大,福建,文教休闲,厦门紫光学大股份有限公司,"Xiamen Unigroup Xue Co.,Ltd.",主板,SZSE,CNY,L,19931101,,N
121,000528.SZ,000528,柳工,广西,工程机械,广西柳工机械股份有限公司,"Guangxi Liugong Machinery Co.,Ltd.",主板,SZSE,CNY,L,19931118,,S
122,000529.SZ,000529,广弘控股,广东,食品,广东广弘控股股份有限公司,"Guangdong Guanghong Holdings Co.,Ltd.",主板,SZSE,CNY,L,19931118,,N
123,000530.SZ,000530,大冷股份,辽宁,机械基件,大连冷冻机股份有限公司,"Dalian Refrigeration Co., Ltd.",主板,SZSE,CNY,L,19931208,,N
124,000531.SZ,000531,穗恒运A,广东,火力发电,广州恒运企业集团股份有限公司,Guangzhou Hengyun Enterprises Holding Ltd.,主板,SZSE,CNY,L,19940106,,N
125,000532.SZ,000532,华金资本,广东,元器件,珠海华金资本股份有限公司,"Zhuhai Huajin Capital Co., Ltd.",主板,SZSE,CNY,L,19940103,,N
126,000533.SZ,000533,顺钠股份,广东,电气设备,广东顺钠电气股份有限公司,"Guangdong Shunna Electric Co.,Ltd.",主板,SZSE,CNY,L,19940103,,N
127,000534.SZ,000534,万泽股份,广东,区域地产,万泽实业股份有限公司,"Wedge Industrial Co.,Ltd.",主板,SZSE,CNY,L,19940110,,N
128,000536.SZ,000536,华映科技,福建,元器件,华映科技(集团)股份有限公司,"CPT Technology (Group) Co., Ltd",主板,SZSE,CNY,L,19931126,,S
129,000537.SZ,000537,广宇发展,天津,区域地产,天津广宇发展股份有限公司,"Tianjin Guangyu Development Co., Ltd.",主板,SZSE,CNY,L,19931210,,S
130,000538.SZ,000538,云南白药,云南,中成药,云南白药集团股份有限公司,"Yunnan Baiyao Group Co., Ltd.",主板,SZSE,CNY,L,19931215,,S
131,000539.SZ,000539,粤电力A,广东,火力发电,广东电力发展股份有限公司,"Guangdong Electric Power Development Co.,Ltd.",主板,SZSE,CNY,L,19931126,,S
132,000540.SZ,000540,中天金融,贵州,多元金融,中天金融集团股份有限公司,Zhongtian Financial Group Company Limited,主板,SZSE,CNY,L,19940202,,S
133,000541.SZ,000541,佛山照明,广东,家用电器,佛山电器照明股份有限公司,"Foshan Electrical and Lighting Co.,Ltd.",主板,SZSE,CNY,L,19931123,,S
134,000543.SZ,000543,皖能电力,安徽,火力发电,安徽省皖能股份有限公司,An Hui Wenergy Company Limited,主板,SZSE,CNY,L,19931220,,S
135,000544.SZ,000544,中原环保,河南,环境保护,中原环保股份有限公司,"Central Plains Environment Protection Co.,Ltd",主板,SZSE,CNY,L,19931208,,N
136,000545.SZ,000545,金浦钛业,吉林,化工原料,金浦钛业股份有限公司,"Gpro Titanium Industry Co.,Ltd",主板,SZSE,CNY,L,19931215,,N
137,000546.SZ,000546,金圆股份,吉林,水泥,金圆环保股份有限公司,"Jinyuan Ep Co.,Ltd",主板,SZSE,CNY,L,19931215,,S
138,000547.SZ,000547,航天发展,福建,通信设备,航天工业发展股份有限公司,"Addsino Co.,Ltd",主板,SZSE,CNY,L,19931130,,S
139,000548.SZ,000548,湖南投资,湖南,路桥,湖南投资集团股份有限公司,"Hunan Investment Group Co.,Ltd.",主板,SZSE,CNY,L,19931220,,N
140,000550.SZ,000550,江铃汽车,江西,汽车整车,江铃汽车股份有限公司,"Jiangling Motors Corporation, Ltd.",主板,SZSE,CNY,L,19931201,,S
141,000551.SZ,000551,创元科技,江苏,专用机械,创元科技股份有限公司,"Create Technology & Science Co., Ltd.",主板,SZSE,CNY,L,19940106,,N
142,000552.SZ,000552,靖远煤电,甘肃,煤炭开采,甘肃靖远煤电股份有限公司,"Gansu Jingyuan Coal Industry and Electricity Power Co.,Ltd",主板,SZSE,CNY,L,19940106,,S
143,000553.SZ,000553,安道麦A,湖北,农药化肥,安道麦股份有限公司,ADAMA Ltd.,主板,SZSE,CNY,L,19931203,,S
144,000554.SZ,000554,泰山石油,山东,石油贸易,中国石化山东泰山石油股份有限公司,"Sinopec Shandong Taishan Pectroleum Co.,Ltd.",主板,SZSE,CNY,L,19931215,,N
145,000555.SZ,000555,神州信息,深圳,软件服务,神州数码信息服务股份有限公司,Digital China Information Service Company Ltd.,主板,SZSE,CNY,L,19940408,,S
146,000557.SZ,000557,西部创业,宁夏,铁路,宁夏西部创业实业股份有限公司,"Ningxia Western Venture Industrial Co., Ltd.",主板,SZSE,CNY,L,19940617,,N
147,000558.SZ,000558,莱茵体育,浙江,文教休闲,莱茵达体育发展股份有限公司,"Lander Sports Development Co.,Ltd.",主板,SZSE,CNY,L,19940509,,N
148,000559.SZ,000559,万向钱潮,浙江,汽车配件,万向钱潮股份有限公司,"Wanxiang Qianchao Co.,Ltd.",主板,SZSE,CNY,L,19940110,,S
149,000560.SZ,000560,我爱我家,云南,房产服务,我爱我家控股集团股份有限公司,"5I5J Holding Group Co., Ltd.",主板,SZSE,CNY,L,19940202,,S
150,000561.SZ,000561,烽火电子,陕西,通信设备,陕西烽火电子股份有限公司,"Shaanxi Fenghuo Electronics Co., Ltd.",主板,SZSE,CNY,L,19940509,,N
151,000563.SZ,000563,陕国投A,陕西,多元金融,陕西省国际信托股份有限公司,"Shaanxi International Trust Co.,Ltd",主板,SZSE,CNY,L,19940110,,S
152,000564.SZ,000564,供销大集,陕西,百货,供销大集集团股份有限公司,"Ccoop Group Co., Ltd",主板,SZSE,CNY,L,19940110,,S
153,000565.SZ,000565,渝三峡A,重庆,染料涂料,重庆三峡油漆股份有限公司,"Chongqing Sanxia Paints Co.,Ltd.",主板,SZSE,CNY,L,19940408,,N
154,000566.SZ,000566,海南海药,海南,化学制药,海南海药股份有限公司,"Hainan Haiyao Co.,Ltd.",主板,SZSE,CNY,L,19940525,,N
155,000567.SZ,000567,海德股份,海南,多元金融,海南海德实业股份有限公司,"Hainan Haide Industry Co.,Ltd",主板,SZSE,CNY,L,19940525,,S
156,000568.SZ,000568,泸州老窖,四川,白酒,泸州老窖股份有限公司,"Luzhou Lao Jiao Co.,Ltd",主板,SZSE,CNY,L,19940509,,S
157,000570.SZ,000570,苏常柴A,江苏,机械基件,常柴股份有限公司,"Changchai Company,Limited",主板,SZSE,CNY,L,19940701,,N
158,000571.SZ,000571,新大洲A,海南,综合类,新大洲控股股份有限公司,"Sundiro Holding Co.,Ltd.",主板,SZSE,CNY,L,19940525,,N
159,000572.SZ,000572,海马汽车,海南,汽车整车,海马汽车集团股份有限公司,"Haima Automobile Group Co.,Ltd.",主板,SZSE,CNY,L,19940808,,N
160,000573.SZ,000573,粤宏远A,广东,区域地产,东莞宏远工业区股份有限公司,"DongGuan Winnerway Industrial Zone Co., Ltd.",主板,SZSE,CNY,L,19940815,,N
161,000576.SZ,000576,广东甘化,广东,造纸,江门甘蔗化工厂(集团)股份有限公司,"Jiangmen Sugarcane Chemical Factory (Group) Co.,Ltd",主板,SZSE,CNY,L,19940907,,N
162,000581.SZ,000581,威孚高科,江苏,汽车配件,无锡威孚高科技集团股份有限公司,"Weifu High-Technology Group Co.,Ltd.",主板,SZSE,CNY,L,19980924,,S
163,000582.SZ,000582,北部湾港,广西,港口,北部湾港股份有限公司,"Beibu Gulf Port Co., Ltd.",主板,SZSE,CNY,L,19951102,,S
164,000584.SZ,000584,哈工智能,江苏,化纤,江苏哈工智能机器人股份有限公司,"Jiangsu Hagong Intelligent Robot Co.,Ltd",主板,SZSE,CNY,L,19951128,,S
165,000585.SZ,000585,*ST东电,海南,电气设备,东北电气发展股份有限公司,Northeast Electric Development Company Limited,主板,SZSE,CNY,L,19951213,,N
